block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
SSM-B001,SSM-B001-G05,18,229753,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104186.png,raw_tiles/ort_riku10/z18/x229753_y104186.png,"135.517730713,34.602693554,135.519104004,34.603823915",cached,aef05ddd58c56b3fa2f206b5983853f5a9a082fa8940990ba3aec1c915b5bbd4,200_cached,2026-06-25T14:17:33Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229751,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104187.png,raw_tiles/ort_riku10/z18/x229751_y104187.png,"135.514984131,34.601563177,135.516357422,34.602693554",cached,7ca04e40270247bd4762b27ae8b14f55b83cea42f5d3610be53d23d82741ff9a,200_cached,2026-06-25T14:17:33Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229752,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104187.png,raw_tiles/ort_riku10/z18/x229752_y104187.png,"135.516357422,34.601563177,135.517730713,34.602693554",downloaded,3fd29465a2e12560c15e8229ec11837858755941d33b86e9632e41d287fe789d,200,2026-06-25T14:17:34Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229753,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104187.png,raw_tiles/ort_riku10/z18/x229753_y104187.png,"135.517730713,34.601563177,135.519104004,34.602693554",downloaded,092baebe7fdd7d5ef018d3b576a927d042c4d5c5173622ee18343bb6c7e26aa8,200,2026-06-25T14:17:35Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",cached,28859559b66863a90b9e58f2dfde6a05a81adbfaa2041bf48c2ce2d53cdea898,200_cached,2026-06-25T14:17:35Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229752,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104188.png,raw_tiles/ort_riku10/z18/x229752_y104188.png,"135.516357422,34.600432785,135.517730713,34.601563177",downloaded,b64e3eac7592f94e8c0b366d8e453817deaa623e2d98a0e455403e74c4cad310,200,2026-06-25T14:17:36Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G05,18,229753,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104188.png,raw_tiles/ort_riku10/z18/x229753_y104188.png,"135.517730713,34.600432785,135.519104004,34.601563177",downloaded,532045c66085c3842b60ca8c6d5bd5e092bda91886b1054b2d065595d3b394f8,200,2026-06-25T14:17:37Z,,S007,SSM-T01B
SSM-B001,SSM-B001-G06,18,229753,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104186.png,raw_tiles/ort_riku10/z18/x229753_y104186.png,"135.517730713,34.602693554,135.519104004,34.603823915",cached,aef05ddd58c56b3fa2f206b5983853f5a9a082fa8940990ba3aec1c915b5bbd4,200_cached,2026-06-25T14:26:09Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229754,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104186.png,raw_tiles/ort_riku10/z18/x229754_y104186.png,"135.519104004,34.602693554,135.520477295,34.603823915",cached,c9b70ad49f50d384f81e355590bed8caa983048b9f9e61e2bb559acea570b116,200_cached,2026-06-25T14:26:09Z,,S007,SSM-T01C
SSM-B001,SSM-B001-G06,18,229755,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104186.png,raw_tiles/ort_riku10/z18/x229755_y104186.png,"135.520477295,34.602693554,135.521850586,34.603823915",cached,0c1e0695df54588776ce292b984ed8d4acbe56beda50148eef62e9c2fed93d1b,200_cached,2026-06-25T14:26:09Z,,S007,SSM-T01C
